"ACTION","AS_units...2","AS_COMPLETION","ROW_COMPLETION","skip","checked_for_duplicates","row_number","Source","Source DOI","author","author_doi","data_location","sample","notes","notes2","treatment_OLD","treatment","treatment_NOTES","treatment_level","latitude","longitude","lat_lon_notes","location","elevation_m","lyrtop_cm","lyrbot_cm","horizon","soil_type","ecosystem","wetland_type","aridity","plant_species","MAP(mm)","MAT(°)","Duration (year)","year_sampled","fraction_scheme","aggregate_size_OLD","aggregate_size","amino_sugars","AS_units...41","gluN","gluN_units","murA","murA_units","galN","galN_units","manN","manN_units","microbial_necromass_C","MNC_units","fungal_necromass_C","FNC_units","bacterial_necromass_C","BNC_units","bacterial_biomass_C","bbc_units","fungal_biomass_C","fbc_units","microbial_biomass_C","MBC-units","microbial_biomass_N","MBN-units","soc","SOC_units","soil_C","TC_units","soil_N","TN_units","soil C/N","pH","pH_method","clay","silt","sand","texture","bulk_density","Method","other_variables_available"
,,"6","21",,"Y","2910",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Jiaozhou Bay (JZB) - Replicate 3",,,,,,,"36.13","120.1",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"260.75","mg/kg","4.08","mg/kg","111.54","mg/kg",,,,,,,,,"189.44","bacterial biomass nmol/g","12.54","fungal biomass nmol/g",,,,,"9.37","g/kg",,,"1.03",,,"7.14",,,,,,,,
,,"6","21",,"Y","2911",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Dafeng Coast (DFC) - Replicate 1",,,,,,,"33.25","120.78",,,,"0","20",,,"wetland",,,"Phragmites australis",,,,,"bulk soil",,,,,"146.64","mg/kg","3.02","mg/kg","38.29","mg/kg",,,,,,,,,"114.02","bacterial biomass nmol/g","7.51","fungal biomass nmol/g",,,,,"2.85","g/kg",,,"0.37",,,"7.9",,,,,,,,
,,"6","21",,"Y","2912",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Dafeng Coast (DFC) - Replicate 2",,,,,,,"33.25","120.78",,,,"0","20",,,"wetland",,,"Phragmites australis",,,,,"bulk soil",,,,,"127.37","mg/kg","1.88","mg/kg","35.28","mg/kg",,,,,,,,,"106.81","bacterial biomass nmol/g","10.43","fungal biomass nmol/g",,,,,"3.19","g/kg",,,"0.38",,,"7.63",,,,,,,,
,,"6","21",,"Y","2913",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Dafeng Coast (DFC) - Replicate 3",,,,,,,"33.25","120.78",,,,"0","20",,,"wetland",,,"Phragmites australis",,,,,"bulk soil",,,,,"211.54","mg/kg","1.13","mg/kg","76.22","mg/kg",,,,,,,,,"158.59","bacterial biomass nmol/g","8.07","fungal biomass nmol/g",,,,,"4.06","g/kg",,,"0.5",,,"7.66",,,,,,,,
,,"6","21",,"Y","2914",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Dafeng Coast (DFC) - Replicate 1",,,,,,,"33.25","120.78",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"162.62","mg/kg","1.99","mg/kg","56.37","mg/kg",,,,,,,,,"186.91","bacterial biomass nmol/g","10.02","fungal biomass nmol/g",,,,,"7.03","g/kg",,,"0.83",,,"7.84",,,,,,,,
,,"6","21",,"Y","2915",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Dafeng Coast (DFC) - Replicate 2",,,,,,,"33.25","120.78",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"91.5","mg/kg","1.54","mg/kg","30.85","mg/kg",,,,,,,,,"123.13","bacterial biomass nmol/g","9","fungal biomass nmol/g",,,,,"4.14","g/kg",,,"0.45",,,"8.01",,,,,,,,
,,"6","21",,"Y","2916",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Dafeng Coast (DFC) - Replicate 3",,,,,,,"33.25","120.78",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"187.78","mg/kg","2.63","mg/kg","63.01","mg/kg",,,,,,,,,"125.99","bacterial biomass nmol/g","7.09","fungal biomass nmol/g",,,,,"7.19","g/kg",,,"0.88",,,"7.85",,,,,,,,
,,"6","21",,"Y","2917",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Chongming Island (CMI) - Replicate 1",,,,,,,"31.69","121.66",,,,"0","20",,,"wetland",,,"Phragmites australis",,,,,"bulk soil",,,,,"280.52","mg/kg","6.97","mg/kg","167.8","mg/kg",,,,,,,,,"234.65","bacterial biomass nmol/g","16.67","fungal biomass nmol/g",,,,,"10.16","g/kg",,,"1.17",,,"7.76",,,,,,,,
,,"6","21",,"Y","2918",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Chongming Island (CMI) - Replicate 2",,,,,,,"31.69","121.66",,,,"0","20",,,"wetland",,,"Phragmites australis",,,,,"bulk soil",,,,,"270.52","mg/kg","7.35","mg/kg","128.22","mg/kg",,,,,,,,,"89.08","bacterial biomass nmol/g","10.32","fungal biomass nmol/g",,,,,"11.44","g/kg",,,"1.41",,,"7.78",,,,,,,,
,,"6","21",,"Y","2919",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Chongming Island (CMI) - Replicate 3",,,,,,,"31.69","121.66",,,,"0","20",,,"wetland",,,"Phragmites australis",,,,,"bulk soil",,,,,"262.05","mg/kg","7.17","mg/kg","128.42","mg/kg",,,,,,,,,"169.44","bacterial biomass nmol/g","18.47","fungal biomass nmol/g",,,,,"9.08","g/kg",,,"1.23",,,"8.05",,,,,,,,
,,"6","21",,"Y","2920",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Chongming Island (CMI) - Replicate 1",,,,,,,"31.69","121.66",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"208.01","mg/kg","2.97","mg/kg","82.24","mg/kg",,,,,,,,,"135.72","bacterial biomass nmol/g","8.04","fungal biomass nmol/g",,,,,"13.58","g/kg",,,"1.46",,,"7.55",,,,,,,,
,,"6","21",,"Y","2921",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Chongming Island (CMI) - Replicate 2",,,,,,,"31.69","121.66",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"186.98","mg/kg","2.91","mg/kg","76.24","mg/kg",,,,,,,,,"140.37","bacterial biomass nmol/g","7.75","fungal biomass nmol/g",,,,,"15.42","g/kg",,,"1.57",,,"7.53",,,,,,,,
,,"6","21",,"Y","2922",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Chongming Island (CMI) - Replicate 3",,,,,,,"31.69","121.66",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"242.47","mg/kg","3.58","mg/kg","114.74","mg/kg",,,,,,,,,"201.14","bacterial biomass nmol/g","10.83","fungal biomass nmol/g",,,,,"18.77","g/kg",,,"1.66",,,"7.19",,,,,,,,
,,"6","21",,"Y","2923",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Cixi Coast (CXC) - Replicate 1",,,,,,,"30.37","121.31",,,,"0","20",,,"wetland",,,"Phragmites australis",,,,,"bulk soil",,,,,"78.03","mg/kg","1.23","mg/kg","40.37","mg/kg",,,,,,,,,"224.23","bacterial biomass nmol/g","24.89","fungal biomass nmol/g",,,,,"4.58","g/kg",,,"0.32",,,"7.97",,,,,,,,
,,"6","21",,"Y","2924",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Cixi Coast (CXC) - Replicate 2",,,,,,,"30.37","121.31",,,,"0","20",,,"wetland",,,"Phragmites australis",,,,,"bulk soil",,,,,"325.72","mg/kg","5.89","mg/kg","173.68","mg/kg",,,,,,,,,"255.91","bacterial biomass nmol/g","27.87","fungal biomass nmol/g",,,,,"10.53","g/kg",,,"0.82",,,"7.69",,,,,,,,
,,"6","21",,"Y","2925",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Cixi Coast (CXC) - Replicate 3",,,,,,,"30.37","121.31",,,,"0","20",,,"wetland",,,"Phragmites australis",,,,,"bulk soil",,,,,"338.99","mg/kg","5.15","mg/kg","164.66","mg/kg",,,,,,,,,"375.75","bacterial biomass nmol/g","39.86","fungal biomass nmol/g",,,,,"9.73","g/kg",,,"0.95",,,"7.65",,,,,,,,
,,"6","21",,"Y","2926",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Cixi Coast (CXC) - Replicate 1",,,,,,,"30.37","121.31",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"289.21","mg/kg","7.04","mg/kg","167.36","mg/kg",,,,,,,,,"152.27","bacterial biomass nmol/g","15.1","fungal biomass nmol/g",,,,,"8.54","g/kg",,,"1.1",,,"7.66",,,,,,,,
,,"6","21",,"Y","2927",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Cixi Coast (CXC) - Replicate 2",,,,,,,"30.37","121.31",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"344.44","mg/kg","7.6","mg/kg","192.68","mg/kg",,,,,,,,,"249.47","bacterial biomass nmol/g","16.36","fungal biomass nmol/g",,,,,"10.47","g/kg",,,"1.19",,,"7.34",,,,,,,,
,,"6","21",,"Y","2928",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Cixi Coast (CXC) - Replicate 3",,,,,,,"30.37","121.31",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"409.04","mg/kg","10.19","mg/kg","236.58","mg/kg",,,,,,,,,"224.42","bacterial biomass nmol/g","13.1","fungal biomass nmol/g",,,,,"11.08","g/kg",,,"1.19",,,"7.86",,,,,,,,
,,"6","22",,"Y","2929",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Culudao Coast (CLD) - Replicate 1",,,,,,,"26.14","119.64",,,,"0","20",,,"wetland","mangrove",,"Mangrove forest",,,,,"bulk soil",,,,,"342.68","mg/kg","14.57","mg/kg","172.92","mg/kg",,,,,,,,,"315.45","bacterial biomass nmol/g","35.65","fungal biomass nmol/g",,,,,"14.09","g/kg",,,"1.06",,,"6.58",,,,,,,,
,,"6","22",,"Y","2930",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Culudao Coast (CLD) - Replicate 2",,,,,,,"26.14","119.64",,,,"0","20",,,"wetland","mangrove",,"Mangrove forest",,,,,"bulk soil",,,,,"394.31","mg/kg","16.01","mg/kg","220.9","mg/kg",,,,,,,,,"326.85","bacterial biomass nmol/g","42.11","fungal biomass nmol/g",,,,,"13.84","g/kg",,,"1.23",,,"6.7",,,,,,,,
,,"6","22",,"Y","2931",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Culudao Coast (CLD) - Replicate 3",,,,,,,"26.14","119.64",,,,"0","20",,,"wetland","mangrove",,"Mangrove forest",,,,,"bulk soil",,,,,"442.63","mg/kg","15.79","mg/kg","271.19","mg/kg",,,,,,,,,"281.41","bacterial biomass nmol/g","30.57","fungal biomass nmol/g",,,,,"15.86","g/kg",,,"1.27",,,"6.94",,,,,,,,
,,"6","21",,"Y","2932",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Culudao Coast (CLD) - Replicate 1",,,,,,,"26.14","119.64",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"433.89","mg/kg","12.91","mg/kg","259.03","mg/kg",,,,,,,,,"179.06","bacterial biomass nmol/g","12.56","fungal biomass nmol/g",,,,,"12.98","g/kg",,,"1.22",,,"7",,,,,,,,
,,"6","21",,"Y","2933",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Culudao Coast (CLD) - Replicate 2",,,,,,,"26.14","119.64",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"467.91","mg/kg","14.3","mg/kg","272.83","mg/kg",,,,,,,,,"202.22","bacterial biomass nmol/g","15.42","fungal biomass nmol/g",,,,,"14.26","g/kg",,,"1.3",,,"6.87",,,,,,,,
,,"6","21",,"Y","2934",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Culudao Coast (CLD) - Replicate 3",,,,,,,"26.14","119.64",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"476.91","mg/kg","18.17","mg/kg","258.35","mg/kg",,,,,,,,,"183.95","bacterial biomass nmol/g","13.09","fungal biomass nmol/g",,,,,"17.6","g/kg",,,"1.49",,,"6.78",,,,,,,,
,,"6","22",,"Y","2935",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Zhangjiang Estuary (ZJE) - Replicate 1",,,,,,,"23.92","117.42",,,,"0","20",,,"wetland","mangrove",,"Mangrove forest",,,,,"bulk soil",,,,,"408.96","mg/kg","16.08","mg/kg","272.97","mg/kg",,,,,,,,,"132.74","bacterial biomass nmol/g","8.7","fungal biomass nmol/g",,,,,"14.85","g/kg",,,"1.37",,,"6.44",,,,,,,,
,,"6","22",,"Y","2936",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Zhangjiang Estuary (ZJE) - Replicate 2",,,,,,,"23.92","117.42",,,,"0","20",,,"wetland","mangrove",,"Mangrove forest",,,,,"bulk soil",,,,,"400.26","mg/kg","17.49","mg/kg","230.55","mg/kg",,,,,,,,,"167.46","bacterial biomass nmol/g","11.26","fungal biomass nmol/g",,,,,"22.79","g/kg",,,"1.81",,,"6.82",,,,,,,,
,,"6","22",,"Y","2937",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Zhangjiang Estuary (ZJE) - Replicate 3",,,,,,,"23.92","117.42",,,,"0","20",,,"wetland","mangrove",,"Mangrove forest",,,,,"bulk soil",,,,,"329.98","mg/kg","13.47","mg/kg","223.78","mg/kg",,,,,,,,,"213.4","bacterial biomass nmol/g","15.12","fungal biomass nmol/g",,,,,"16.64","g/kg",,,"1.43",,,"6.32",,,,,,,,
,,"6","21",,"Y","2938",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Zhangjiang Estuary (ZJE) - Replicate 1",,,,,,,"23.92","117.42",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"349.83","mg/kg","13.8","mg/kg","235.1","mg/kg",,,,,,,,,"136.33","bacterial biomass nmol/g","14.09","fungal biomass nmol/g",,,,,"10.18","g/kg",,,"1.14",,,"6.7",,,,,,,,
,,"6","21",,"Y","2939",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Zhangjiang Estuary (ZJE) - Replicate 2",,,,,,,"23.92","117.42",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"297.21","mg/kg","13.17","mg/kg","174.61","mg/kg",,,,,,,,,"144.78","bacterial biomass nmol/g","13.91","fungal biomass nmol/g",,,,,"11.13","g/kg",,,"1.26",,,"6.65",,,,,,,,
,,"6","21",,"Y","2940",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Zhangjiang Estuary (ZJE) - Replicate 3",,,,,,,"23.92","117.42",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"350.57","mg/kg","14.9","mg/kg","206.77","mg/kg",,,,,,,,,"167.93","bacterial biomass nmol/g","11.93","fungal biomass nmol/g",,,,,"12.8","g/kg",,,"1.45",,,"6.53",,,,,,,,
,,"6","22",,"Y","2941",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Leizhou Coast (LZC) - Replicate 1",,,,,,,"20.93","110.17",,,,"0","20",,,"wetland","mangrove",,"Mangrove forest",,,,,"bulk soil",,,,,"104.34","mg/kg","2.18","mg/kg","61.67","mg/kg",,,,,,,,,"111.19","bacterial biomass nmol/g","7.88","fungal biomass nmol/g",,,,,"4.37","g/kg",,,"0.37",,,"7.56",,,,,,,,
,,"6","22",,"Y","2942",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Leizhou Coast (LZC) - Replicate 2",,,,,,,"20.93","110.17",,,,"0","20",,,"wetland","mangrove",,"Mangrove forest",,,,,"bulk soil",,,,,"234.52","mg/kg","4.24","mg/kg","130.8","mg/kg",,,,,,,,,"169.13","bacterial biomass nmol/g","22.76","fungal biomass nmol/g",,,,,"9.65","g/kg",,,"0.88",,,"7.67",,,,,,,,
,,"6","22",,"Y","2943",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Leizhou Coast (LZC) - Replicate 3",,,,,,,"20.93","110.17",,,,"0","20",,,"wetland","mangrove",,"Mangrove forest",,,,,"bulk soil",,,,,"403.11","mg/kg","16.56","mg/kg","208.03","mg/kg",,,,,,,,,"183.7","bacterial biomass nmol/g","24.54","fungal biomass nmol/g",,,,,"16.33","g/kg",,,"1.65",,,"7.28",,,,,,,,
,,"6","21",,"Y","2944",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Leizhou Coast (LZC) - Replicate 1",,,,,,,"20.93","110.17",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"403.57","mg/kg","14.96","mg/kg","208.26","mg/kg",,,,,,,,,"150.89","bacterial biomass nmol/g","12.13","fungal biomass nmol/g",,,,,"13.39","g/kg",,,"1.43",,,"7.21",,,,,,,,
,,"6","21",,"Y","2945",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Leizhou Coast (LZC) - Replicate 2",,,,,,,"20.93","110.17",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"480.22","mg/kg","14.93","mg/kg","277.95","mg/kg",,,,,,,,,"162.19","bacterial biomass nmol/g","12.38","fungal biomass nmol/g",,,,,"12.72","g/kg",,,"1.36",,,"7.6",,,,,,,,
,,"6","21",,"Y","2946",,,"Zhang 2023","https://doi.org/10.1016/j.catena.2022.106859",,"Leizhou Coast (LZC) - Replicate 3",,,,,,,"20.93","110.17",,,,"0","20",,,"wetland",,,"Spartina alterniflora",,,,,"bulk soil",,,,,"348.86","mg/kg","12.16","mg/kg","182.04","mg/kg",,,,,,,,,"204.77","bacterial biomass nmol/g","13.86","fungal biomass nmol/g",,,,,"14.15","g/kg",,,"1.42",,,"7.17",,,,,,,,
,,"0","1",,"Y","3228",,,"Ding 2023","https://doi.org/10.1016/j.catena.2023.107246",,,,,,,,,,,,,,,,,,,,,,,,,,"bulk soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"y 6/21",,"14","32",,"Y","2886",,,"Chen 2022","https://doi.org/10.1016/j.ecolind.2022.109488",,"open peatland",,,,,,,"52°56′29′′N","122°51′49′′E",,,,"0","10",,"Histosols","wetland","peatland",,,"450","-3.9",,,"bulk soil",,,"10394.37918","mg/kg","7551.38","mg/kg","147.36","mg/kg","2606.4","mg/kg",,,"72900","mg/kg","66200","mg/kg","6680","mg/kg",,,,,"16.5","mg/g","1.31","mg/g","399","g/kg",,,"15.6","g/kg",,,,,,,,,,
"y 6/21",,"14","28",,"Y","2887",,,"Chen 2022","https://doi.org/10.1016/j.ecolind.2022.109488",,"open peatland",,,,,,,"52°56′29′′N","122°51′49′′E",,,,"10","20",,"Histosols","wetland","peatland",,,,,,,"bulk soil",,,"13345.11755","mg/kg","8685.751489","mg/kg","172.49","mg/kg","4544.59","mg/kg",,,"83900","mg/kg","76100","mg/kg","7860","mg/kg",,,,,"10.2",,"1.07",,"351","g/kg",,,"16.3","g/kg",,,,,,,,,,
"y 6/21",,"14","28",,"Y","2888",,,"Chen 2022","https://doi.org/10.1016/j.ecolind.2022.109488",,"open peatland",,,,,,,"52°56′29′′N","122°51′49′′E",,,,"20","40",,"Histosols","wetland","peatland",,,,,,,"bulk soil",,,"10426.99773","mg/kg","6184.971774","mg/kg","191.81","mg/kg","4026.46","mg/kg",,,"62200","mg/kg","53600","mg/kg","8680","mg/kg",,,,,"5.6",,"0.56",,"359","g/kg",,,"18.6","g/kg",,,,,,,,,,
"y 6/21",,"14","28",,"Y","2889",,,"Chen 2022","https://doi.org/10.1016/j.ecolind.2022.109488",,"alder patch",,,,,,,"52°56′29′′N","122°51′49′′E",,,,"0","10",,"Histosols","wetland","peatland",,,,,,,"bulk soil",,,"11138.12014","mg/kg","8352.657269","mg/kg","181.76","mg/kg","2746.95","mg/kg",,,"81300","mg/kg","73100","mg/kg","8190","mg/kg",,,,,"22.6",,"2.93",,"404","g/kg",,,"18.9","g/kg",,,,,,,,,,
"y 6/21",,"14","28",,"Y","2890",,,"Chen 2022","https://doi.org/10.1016/j.ecolind.2022.109488",,"alder patch",,,,,,,"52°56′29′′N","122°51′49′′E",,,,"10","20",,"Histosols","wetland","peatland",,,,,,,"bulk soil",,,"12039.99428","mg/kg","7868.337336","mg/kg","157.61","mg/kg","4059.02","mg/kg",,,"76000","mg/kg","68900","mg/kg","7120","mg/kg",,,,,"13.5",,"1.56",,"385","g/kg",,,"19.6","g/kg",,,,,,,,,,
"y 6/21",,"14","28",,"Y","2891",,,"Chen 2022","https://doi.org/10.1016/j.ecolind.2022.109488",,"alder patch",,,,,,,"52°56′29′′N","122°51′49′′E",,,,"20","40",,"Histosols","wetland","peatland",,,,,,,"bulk soil",,,"11318.76202","mg/kg","6864.727256","mg/kg","227.99","mg/kg","4277.76","mg/kg",,,"69300","mg/kg","58900","mg/kg","10350","mg/kg",,,,,"6.8",,"1",,"324","g/kg",,,"20.9","g/kg",,,,,,,,,,
,,"9","32","duplicate",,"4317","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Li et al. 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,"N071",,,,,,,"47.26","126.38",,"Hailun, China","158","0","20",,"Phchic Haploborolls","cropland",,,,"550","1.5",,,"bulk soil",,,"210","mg/kg","119","mg/kg","10","mg/kg","81","mg/kg",,"mg/kg",,,,,,,,,,,"80.4","mg/kg",,"mg/kg",,,"5.1","g/kg","0.41","g/kg","12.44","6.88",,"42.00","35.6","22.4",,,,
,,"4","16","duplicate","Y","1774","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Li et al. 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"PM","PM",,,"47.43","126.63",,,,"0","20",,"Mollisol","cropland",,,,"550","1.5",,,"bulk soil",,,,,"65.5738","mg/kg","6.55738","mg/kg",,,,,,,,,,,,,,,,,,,,,"5.10",,"0.41",,,"6.13",,,,,,,,
,,"4","18","duplicate","Y","1775","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Li et al. 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"MO","MO",,,"47.43","126.63",,,,"0","20",,"Mollisol","cropland",,,,"550","1.5",,,"bulk soil",,,,,"200.656","mg/kg","14.4262","mg/kg",,,,,,,,,,,,,,,,,,,,,"29.40",,"2.14",,,"6.88",,"42","35.6",,,,,
,,"4","18","duplicate","Y","1776","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Li et al. 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"NatF","NatF",,,"47.43","126.63",,,,"0","20",,"Mollisol","cropland",,,,"550","1.5",,,"bulk soil",,,,,"292.459","mg/kg","20.9836","mg/kg",,,,,,,,,,,,,,,,,,,,,"9.00",,"0.79",,,"5.44",,"42","35.6",,,,,
,,"4","18","duplicate","Y","1777","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Li et al. 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"Alfa","Alfa",,,"47.43","126.63",,,,"0","20",,"Mollisol","cropland",,,,"550","1.5",,,"bulk soil",,,,,"153.443","mg/kg","14.4262","mg/kg",,,,,,,,,,,,,,,,,,,,,"11.09",,"1.07",,,"6.56",,"42","35.6",,,,,
,,"4","18","duplicate","Y","1778","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Li et al. 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"FOCO","FOCO",,,"47.43","126.63",,,,"0","20",,"Mollisol","cropland",,,,"550","1.5",,,"bulk soil",,,,,"169.18","mg/kg","11.8033","mg/kg",,,,,,,,,,,,,,,,,,,,,"6.99",,"0.51",,,"6.32",,"42","35.6",,,,,
,,"4","18","duplicate","Y","1779","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Li et al. 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"F1CO","F1CO",,,"47.43","126.63",,,,"0","20",,"Mollisol","cropland",,,,"550","1.5",,,"bulk soil",,,,,"335.738","mg/kg","18.3607","mg/kg",,,,,,,,,,,,,,,,,,,,,"7.87",,"0.67",,,"6.54",,"42","35.6",,,,,
,,"4","18","duplicate","Y","1780","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Li et al. 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"F1C1","F1C1",,,"47.43","126.63",,,,"0","20",,"Mollisol","cropland",,,,"550","1.5",,,"bulk soil",,,,,"337.049","mg/kg","19.6721","mg/kg",,,,,,,,,,,,,,,,,,,,,"10.79",,"0.89",,,"5.96",,"42","35.6",,,,,
,,"4","18","duplicate","Y","1781","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Li et al. 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"F1C2","F1C2",,,"47.43","126.63",,,,"0","20",,"Mollisol","cropland",,,,"550","1.5",,,"bulk soil",,,,,"500","mg/kg","62.9508","mg/kg",,,,,,,,,,,,,,,,,,,,,"12.28",,"1.14",,,"5.71",,"42","35.6",,,,,
,,"4","25",,"Y","361","Liang et al. 2019","https://doi.org/10.1111/gcb.14781","Na Li et al., 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"MO","mixed management",,"MO","47°26'N","126°38'E",,,,"0","20",,,"cropland",,,,"550","1.5",,,"bulk soil",,,,,"1102.24","mg/kg","108.56","mg/kg",,,,,,,,,,,"4885.2","ug/g","8526.33","ug/g",,,,,"29.42","g/kg",,,"2.14",,,"7",,"42","35.6","22.4","clay",,"Zhang and Amelung (1996)",
,,"4","25",,"Y","362","Liang et al. 2019","https://doi.org/10.1111/gcb.14781","Na Li et al., 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"F0C0","mixed management",,"F0C0","47°26'N","126°38'E",,,,"0","20",,,"cropland",,,,"550","1.5",,,"bulk soil",,,,,"247.42","mg/kg","22.15","mg/kg",,,,,,,,,,,"996.94","ug/g","1942.33","ug/g",,,,,"6.99","g/kg",,,"0.51",,,"5.44",,"42","35.6","22.4","clay",,"Zhang and Amelung (1996)",
,,"4","25",,"Y","363","Liang et al. 2019","https://doi.org/10.1111/gcb.14781","Na Li et al., 2015","https://doi.org/10.1016/j.ejsobi.2015.02.002",,,,,"F1C0","mixed management",,"F1C0","47°26'N","126°38'E",,,,"0","20",,,"cropland",,,,"550","1.5",,,"bulk soil",,,,,"276.04","mg/kg","22.15","mg/kg",,,,,,,,,,,"996.94","ug/g","2199.89","ug/g",,,,,"7.87","g/kg",,,"0.67",,,"6.54",,"42","35.6","22.4","clay",,"Zhang and Amelung (1996)",
